speaker,text
CLINTON,"Well, thank you. Are you a teacher? Yes, I think that that’s a very good question, because I’ve heard from lots of teachers and parents about some of their concerns about some of the things that are being said and done in this campaign."
TRUMP,"Well, I actually agree with that. I agree with everything she said. I began this campaign because I was so tired of seeing such foolish things happen to our country. This is a great country. This is a great land. I’ve gotten to know the people of the country over the last year-and-a-half that I’ve been doing this as a politician. I cannot believe I’m saying that about myself, but I guess I have been a politician."
TRUMP,"No, I didn’t say that at all. I don’t think you understood what was—this was locker room talk. I’m not proud of it. I apologize to my family. I apologize to the American people. Certainly, I’m not proud of it. But this is locker room talk."
TRUMP,And we should get on to much more important things and much bigger things.
TRUMP,I have great respect for women. Nobody has more respect for women than I do.
TRUMP,"I’ve said things that, frankly, you hear these things I said. And I was embarrassed by it. But I have tremendous respect for women."
TRUMP,"And women have respect for me. And I will tell you: No, I have not. And I will tell you that I’m going to make our country safe. We’re going to have borders in our country, which we don’t have now. People are pouring into our country, and they’re coming in from the Middle East and other places."
TRUMP,"Right now, other nations are taking our jobs and they’re taking our wealth."
TRUMP,And that’s what I want to talk about.
CLINTON,"Well, like everyone else, I’ve spent a lot of time thinking over the last 48 hours about what we heard and saw. You know, with prior Republican nominees for president, I disagreed with them on politics, policies, principles, but I never questioned their fitness to serve."
TRUMP,Am I allowed to respond to that? I assume I am.
TRUMP,"It’s just words, folks. It’s just words. Those words, I’ve been hearing them for many years. I heard them when they were running for the Senate in New York, where Hillary was going to bring back jobs to upstate New York and she failed."
TRUMP,"So, she’s allowed to do that, but I’m not allowed to respond?"
TRUMP,Sounds fair.
TRUMP,"It was locker room talk, as I told you. That was locker room talk. I’m not proud of it. I am a person who has great respect for people, for my family, for the people of this country. And certainly, I’m not proud of it. But that was something that happened."
CLINTON,"Well, first, let me start by saying that so much of what he’s just said is not right, but he gets to run his campaign any way he chooses. He gets to decide what he wants to talk about. Instead of answering people’s questions, talking about our agenda, laying out the plans that we have that we think can make a better life and a better country, that’s his choice."
TRUMP,"Well, you owe the president an apology, because as you know very well, your campaign, Sidney Blumenthal—he’s another real winner that you have—and he’s the one that got this started, along with your campaign manager, and they were on television just two weeks ago, she was, saying exactly that. So you really owe him an apology. You’re the one that sent the pictures around your campaign, sent the pictures around with President Obama in a certain garb. That was long before I was ever involved, so you actually owe an apology."
CLINTON,"… because everything he just said is absolutely false, but I’m not surprised."
TRUMP,"Oh, really?"
CLINTON,In the first debate…[laughter]
CLINTON,… I told people that it would be impossible to be fact-checking Donald all the time. I’d never get to talk about anything I want to do and how we’re going to really make lives better for people.
TRUMP,Because you’d be in jail. [applause]
CLINTON,"Well, Martha, first, let me say—and I’ve said before, but I’ll repeat it, because I want everyone to hear it—that was a mistake, and I take responsibility for using a personal e-mail account. Obviously, if I were to do it over again, I would not. I’m not making any excuses. It was a mistake. And I am very sorry about that."
TRUMP,And yet she didn’t know the word—the letter C on a document. Right? She didn’t even know what that word—what that letter meant.
TRUMP,You did that. Wait a minute. One second.
TRUMP,"If you did that in the private sector, you’d be put in jail, let alone after getting a subpoena from the United States Congress."
CLINTON,"Look, it’s just not true. And so please, go to…"
TRUMP,"Oh, you didn’t delete them?"
CLINTON,"It was personal e-mails, not official."
TRUMP,"Oh, 33,000? Yeah."
CLINTON,"Not—well, we turned over 35,000, so…"
TRUMP,"Oh, yeah. What about the other 15,000?"
CLINTON,"Yes, that’s true, I didn’t."
TRUMP,Because you have nothing to say.
CLINTON,"I didn’t in the first debate, and I’m going to try not to in this debate, because I’d like to get to the questions that the people have brought here tonight to talk to us about."
TRUMP,And get off this question.
CLINTON,"OK, Donald. I know you’re into big diversion tonight, anything to avoid talking about your campaign and the way it’s exploding and the way Republicans are leaving you. But let’s at least focus…"
TRUMP,Let’s see what happens…[crosstalk]
CLINTON,… on some of the issues that people care about tonight. Let’s get to their questions.
TRUMP,"I’d like to know, Anderson, why aren’t you bringing up the e-mails? I’d like to know. Why aren’t you bringing…"
TRUMP,"No, it hasn’t. It hasn’t. And it hasn’t been finished at all."
TRUMP,It’s nice to—one on three.
CLINTON,"If he wants to start, he can start. No, go ahead, Donald."
TRUMP,"No, I’m a gentleman, Hillary. Go ahead. [laughter]"
CLINTON,"Well, I think Donald was about to say he’s going to solve it by repealing it and getting rid of the Affordable Care Act. And I’m going to fix it, because I agree with you. Premiums have gotten too high. Copays, deductibles, prescription drug costs, and I’ve laid out a series of actions that we can take to try to get those costs down."
CLINTON,"So I want us to get to 100 percent, but get costs down and keep quality up."
TRUMP,"It is such a great question and it’s maybe the question I get almost more than anything else, outside of defense. Obamacare is a disaster. You know it. We all know it. It’s going up at numbers that nobody’s ever seen worldwide. Nobody’s ever seen numbers like this for health care."
TRUMP,"It is a disastrous plan, and it has to be repealed and replaced."
CLINTON,"No, I mean, he clarified what he meant. And it’s very clear. Look, we are in a situation in our country where if we were to start all over again, we might come up with a different system. But we have an employer-based system. That’s where the vast majority of people get their health care."
CLINTON,"… get to do pretty much whatever they want, including saying, look, I’m sorry, you’ve got diabetes, you had cancer, your child has asthma…"
CLINTON,"… you may not be able to have insurance because you can’t afford it. So let’s fix what’s broken about it, but let’s not throw it away and give it all back to the insurance companies and the drug companies. That’s not going to work."
TRUMP,"Well, I just want—just one thing. First of all, Hillary, everything’s broken about it. Everything. Number two, Bernie Sanders said that Hillary Clinton has very bad judgment. This is a perfect example of it, trying to save Obamacare, which is a disaster."
TRUMP,By the way…
TRUMP,We’re going to be able to. You’re going to have plans…
TRUMP,"Well, I’ll tell you what it means. You’re going to have plans that are so good, because we’re going to have so much competition in the insurance industry. Once we break out—once we break out the lines and allow the competition to come…"
TRUMP,"President Obama—Anderson, excuse me. President Obama, by keeping those lines, the boundary lines around each state, it was almost gone until just very toward the end of the passage of Obamacare, which, by the way, was a fraud. You know that, because Jonathan Gruber, the architect of Obamacare, was said—he said it was a great lie, it was a big lie. President Obama said you keep your doctor, you keep your plan. The whole thing was a fraud, and it doesn’t work."
TRUMP,… so that we will be able to take care of people without the necessary funds to take care of themselves.
TRUMP,"Well, you’re right about Islamophobia, and that’s a shame. But one thing we have to do is we have to make sure that—because there is a problem. I mean, whether we like it or not, and we could be very politically correct, but whether we like it or not, there is a problem. And we have to be sure that Muslims come in and report when they see something going on. When they see hatred going on, they have to report it."
CLINTON,"Well, thank you for asking your question. And I’ve heard this question from a lot of Muslim-Americans across our country, because, unfortunately, there’s been a lot of very divisive, dark things said about Muslims. And even someone like Captain Khan, the young man who sacrificed himself defending our country in the United States Army, has been subject to attack by Donald."
TRUMP,"First of all, Captain Khan is an American hero, and if I were president at that time, he would be alive today, because unlike her, who voted for the war without knowing what she was doing, I would not have had our people in Iraq. Iraq was a disaster. So he would have been alive today."
TRUMP,Why don’t you interrupt her? You interrupt me all the time.
TRUMP,Why don’t you interrupt her?
TRUMP,"It’s called extreme vetting. We are going to areas like Syria where they’re coming in by the tens of thousands because of Barack Obama. And Hillary Clinton wants to allow a 550 percent increase over Obama. People are coming into our country like we have no idea who they are, where they are from, what their feelings about our country is, and she wants 550 percent more. This is going to be the great Trojan horse of all time."
CLINTON,"Well, first of all, I will not let anyone into our country that I think poses a risk to us. But there are a lot of refugees, women and children—think of that picture we all saw of that 4-year-old boy with the blood on his forehead because he’d been bombed by the Russian and Syrian air forces."
TRUMP,That’s not been debunked.
CLINTON,"So, please…"
TRUMP,That has not been debunked.
CLINTON,… go to HillaryClinton.com and you can see it.
TRUMP,"I was against—I was against the war in Iraq. Has not been debunked. And you voted for it. And you shouldn’t have. Well, I just want to say…"
TRUMP,Excuse me. She just went about 25 seconds over her time.
TRUMP,"Could I just respond to this, please?"
TRUMP,"Hillary Clinton, in terms of having people come into our country, we have many criminal illegal aliens. When we want to send them back to their country, their country says we don’t want them. In some cases, they’re murderers, drug lords, drug problems. And they don’t want them."
CLINTON,"Well, right. As I recall, that was something I said about Abraham Lincoln after having seen the wonderful Steven Spielberg movie called “Lincoln.” It was a master class watching President Lincoln get the Congress to approve the 13th Amendment. It was principled, and it was strategic."
CLINTON,… with the Russians and other foreign powers.
TRUMP,"Well, I think I should respond, because—so ridiculous. Look, now she’s blaming—she got caught in a total lie. Her papers went out to all her friends at the banks, Goldman Sachs and everybody else, and she said things—WikiLeaks that just came out. And she lied. Now she’s blaming the lie on the late, great Abraham Lincoln. That’s one that I haven’t…[laughter]"
TRUMP,"Well, one thing I’d do is get rid of carried interest. One of the greatest provisions for people like me, to be honest with you, I give up a lot when I run, because I knock out the tax code. And she could have done this years ago, by the way. She’s a United States—she was a United States senator."
CLINTON,"Well, everything you’ve heard just now from Donald is not true. I’m sorry I have to keep saying this, but he lives in an alternative reality. And it is sort of amusing to hear somebody who hasn’t paid federal income taxes in maybe 20 years talking about what he’s going to do."
CLINTON,"And we’re going to make sure that nobody, no corporation, and no individual can get away without paying his fair share to support our country."
TRUMP,"Of course I do. Of course I do. And so do all of her donors, or most of her donors. I know many of her donors. Her donors took massive tax write-offs."
TRUMP,"A lot of my—excuse me, Anderson—a lot of my write- off was depreciation and other things that Hillary as a senator allowed. And she’ll always allow it, because the people that give her all this money, they want it. That’s why."
TRUMP,"No, but I pay tax, and I pay federal tax, too. But I have a write-off, a lot of it’s depreciation, which is a wonderful charge. I love depreciation. You know, she’s given it to us."
TRUMP,"And, again, Bernie Sanders, it’s really bad judgment. She has made bad judgment not only on taxes. She’s made bad judgments on Libya, on Syria, on Iraq. I mean, her and Obama, whether you like it or not, the way they got out of Iraq, the vacuum they’ve left, that’s why ISIS formed in the first place. They started from that little area, and now they’re in 32 different nations, Hillary. Congratulations. Great job."
CLINTON,"Well, here we go again. I’ve been in favor of getting rid of carried interest for years, starting when I was a senator from New York. But that’s not the point here."
TRUMP,Why didn’t you do it? Why didn’t you do it?
CLINTON,Because I was a senator with a Republican president.
TRUMP,"Oh, really?"
CLINTON,I will be the president and we will get it done. That’s exactly right.
TRUMP,"You could have done it, if you were an effective—if you were an effective senator, you could have done it. If you were an effective senator, you could have done it. But you were not an effective senator."
CLINTON,"You know, under our Constitution, presidents have something called veto power. Look, he has now said repeatedly, “30 years this and 30 years that.” So let me talk about my 30 years in public service. I’m very glad to do so."
CLINTON,"And I’ve proven that I can, and for 30 years, I’ve produced results for people."
TRUMP,"She said a lot of things that were false. I mean, I think we should be allowed to maybe…"
TRUMP,Excuse me. Because she has been a disaster as a senator. A disaster.
CLINTON,"Well, the situation in Syria is catastrophic. And every day that goes by, we see the results of the regime by Assad in partnership with the Iranians on the ground, the Russians in the air, bombarding places, in particular Aleppo, where there are hundreds of thousands of people, probably about 250,000 still left. And there is a determined effort by the Russian air force to destroy Aleppo in order to eliminate the last of the Syrian rebels who are really holding out against the Assad regime."
TRUMP,"First of all, she was there as secretary of state with the so-called line in the sand, which…"
CLINTON,"No, I wasn’t. I was gone. I hate to interrupt you, but at some point…"
TRUMP,OK. But you were in contact—excuse me. You were…
CLINTON,"At some point, we need to do some fact-checking here."
TRUMP,"You were in total contact with the White House, and perhaps, sadly, Obama probably still listened to you. I don’t think he would be listening to you very much anymore."
TRUMP,And one thing I have to say.
TRUMP,"I don’t like Assad at all, but Assad is killing ISIS. Russia is killing ISIS. And Iran is killing ISIS. And those three have now lined up because of our weak foreign policy."
TRUMP,"OK. He and I haven’t spoken, and I disagree. I disagree."
TRUMP,"I think you have to knock out ISIS. Right now, Syria is fighting ISIS. We have people that want to fight both at the same time. But Syria is no longer Syria. Syria is Russia and it’s Iran, who she made strong and Kerry and Obama made into a very powerful nation and a very rich nation, very, very quickly, very, very quickly."
TRUMP,"I think Aleppo is a disaster, humanitarian-wise."
TRUMP,"I think that it basically has fallen. OK? It basically has fallen. Let me tell you something. You take a look at Mosul. The biggest problem I have with the stupidity of our foreign policy, we have Mosul. They think a lot of the ISIS leaders are in Mosul. So we have announcements coming out of Washington and coming out of Iraq, we will be attacking Mosul in three weeks or four weeks."
TRUMP,I can’t think of any. I can’t think of any. And I’m pretty good at it.
TRUMP,"And we have General Flynn. And we have—look, I have 200 generals and admirals who endorsed me. I have 21 Congressional Medal of Honor recipients who endorsed me. We talk about it all the time. They understand, why can’t they do something secretively, where they go in and they knock out the leadership? How—why would these people stay there? I’ve been reading now…"
TRUMP,"… for weeks—I’ve been reading now for weeks about Mosul, that it’s the harbor of where—you know, between Raqqa and Mosul, this is where they think the ISIS leaders are. Why would they be saying—they’re not staying there anymore. They’re gone. Because everybody’s talking about how Iraq, which is us with our leadership, goes in to fight Mosul."
CLINTON,"I would not use American ground forces in Syria. I think that would be a very serious mistake. I don’t think American troops should be holding territory, which is what they would have to do as an occupying force. I don’t think that is a smart strategy."
CLINTON,"Well, Martha, I hope that by the time I—if I’m fortunate…"
TRUMP,Everything.
CLINTON,"I hope by the time I am president that we will have pushed ISIS out of Iraq. I do think that there is a good chance that we can take Mosul. And, you know, Donald says he knows more about ISIS than the generals. No, he doesn’t."
TRUMP,"You know what’s funny? She went over a minute over, and you don’t stop her. When I go one second over, it’s like a big deal."
TRUMP,It’s really—it’s really very interesting.
TRUMP,"Absolutely. I mean, she calls our people deplorable, a large group, and irredeemable. I will be a president for all of our people. And I’ll be a president that will turn our inner cities around and will give strength to people and will give economics to people and will bring jobs back."
TRUMP,"But I will tell you, she’s all talk. It doesn’t get done. All you have to do is take a look at her Senate run. Take a look at upstate New York."
TRUMP,It turned out to be a disaster.
CLINTON,"Well, 67 percent of the people voted to re-elect me when I ran for my second term, and I was very proud and very humbled by that."
CLINTON,"Democrats, Republicans, independents, people across our country. If you don’t vote for me, I still want to be your president."
CLINTON,I want to be the best president I can be for every American.
CLINTON,"Well, within hours I said that I was sorry about the way I talked about that, because my argument is not with his supporters. It’s with him and with the hateful and divisive campaign that he has run, and the inciting of violence at his rallies, and the very brutal kinds of comments about not just women, but all Americans, all kinds of Americans."
CLINTON,"Because we talked about what we wanted to do. We might have had some differences, and we had a lot of debates…"
TRUMP,… but we believed that we could make the country better. And I was proud of that.
TRUMP,"We have a divided nation. We have a very divided nation. You look at Charlotte. You look at Baltimore. You look at the violence that’s taking place in the inner cities, Chicago, you take a look at Washington, D.C."
TRUMP,"She’s got tremendous—she’s got tremendous hatred. And this country cannot take another four years of Barack Obama, and that’s what you’re getting with her."
TRUMP,"No, there wasn’t check out a sex tape. It was just take a look at the person that she built up to be this wonderful Girl Scout who was no Girl Scout."
TRUMP,"By the way, just so you understand, when she said 3 o’clock in the morning, take a look at Benghazi. She said who is going to answer the call at 3 o’clock in the morning? Guess what? She didn’t answer it, because when Ambassador Stevens…"
TRUMP,"… 600—wait a minute, Anderson, 600 times. Well, she said she was awake at 3 o’clock in the morning, and she also sent a tweet out at 3 o’clock in the morning, but I won’t even mention that. But she said she’ll be awake. Who’s going—the famous thing, we’re going to answer our call at 3 o’clock in the morning. Guess what happened? Ambassador Stevens—Ambassador Stevens sent 600 requests for help. And the only one she talked to was Sidney Blumenthal, who’s her friend and not a good guy, by the way. So, you know, she shouldn’t be talking about that."
CLINTON,No.
TRUMP,I’m shocked to hear that. [laughter]
CLINTON,"Well, it’s not only my opinion. It’s the opinion of many others, national security experts, Republicans, former Republican members of Congress. But it’s in part because those of us who have had the great privilege of seeing this job up close and know how difficult it is, and it’s not just because I watched my husband take a $300 billion deficit and turn it into a $200 billion surplus, and 23 million new jobs were created, and incomes went up for everybody. Everybody. African-American incomes went up 33 percent."
CLINTON,Nine million people lost their jobs.
CLINTON,Five million homes were lost.
CLINTON,And $13 trillion in family wealth was wiped out. We are back on the right track. He would send us back into recession with his tax plans that benefit the wealthiest of Americans.
TRUMP,We have the slowest growth since 1929.
TRUMP,It is—our country has the slowest growth and jobs are a disaster.
CLINTON,"Thank you. Well, you’re right. This is one of the most important issues in this election. I want to appoint Supreme Court justices who understand the way the world really works, who have real-life experience, who have not just been in a big law firm and maybe clerked for a judge and then gotten on the bench, but, you know, maybe they tried some more cases, they actually understand what people are up against."
TRUMP,"Justice Scalia, great judge, died recently. And we have a vacancy. I am looking to appoint judges very much in the mold of Justice Scalia. I’m looking for judges—and I’ve actually picked 20 of them so that people would see, highly respected, highly thought of, and actually very beautifully reviewed by just about everybody."
CLINTON,Well…[crosstalk]
CLINTON,"The question was about the Supreme Court. And I just want to quickly say, I respect the Second Amendment. But I believe there should be comprehensive background checks, and we should close the gun show loophole, and close the online loophole."
CLINTON,We have to save as many lives as we possibly can.
TRUMP,"Absolutely. I think it’s such a great question, because energy is under siege by the Obama administration. Under absolutely siege. The EPA, Environmental Protection Agency, is killing these energy companies. And foreign companies are now coming in buying our—buying so many of our different plants and then re-jiggering the plant so that they can take care of their oil."
TRUMP,It’s an absolute disgrace.
CLINTON,"And actually—well, that was very interesting. First of all, China is illegally dumping steel in the United States and Donald Trump is buying it to build his buildings, putting steelworkers and American steel plants out of business. That’s something that I fought against as a senator and that I would have a trade prosecutor to make sure that we don’t get taken advantage of by China on steel or anything else."
CLINTON,But the price of coal is down worldwide. So we have to look at this comprehensively.
CLINTON,And that’s exactly what I have proposed. I hope you will go to HillaryClinton.com and look at my entire policy.
CLINTON,"Well, I certainly will, because I think that’s a very fair and important question. Look, I respect his children. His children are incredibly able and devoted, and I think that says a lot about Donald. I don’t agree with nearly anything else he says or does, but I do respect that. And I think that is something that as a mother and a grandmother is very important to me."
TRUMP,"Well, I consider her statement about my children to be a very nice compliment. I don’t know if it was meant to be a compliment, but it is a great—I’m very proud of my children. And they’ve done a wonderful job, and they’ve been wonderful, wonderful kids. So I consider that a compliment."
